Predictions,smiles,drugbank_id
0.034993187,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,DB00404
0.006430336,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,DB00405
0.009458865,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,DB00406
0.0031065384,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,DB00408
0.006469623,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC,DB00409
0.20152597,C[N+](C)(C)CCOC(N)=O,DB00411
0.08504911,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,DB00412
0.004546209,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,DB00413
0.0071813986,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,DB00414
0.010494498,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,DB00415
0.008249028,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,DB00417
0.007013469,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,DB00418
0.008718428,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,DB00419
0.006556974,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,DB00420
0.005928632,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,DB00421
0.011474642,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,DB00422
0.07169563,COC1=C(OCC(O)COC(N)=O)C=CC=C1,DB00423
0.18794268,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,DB00424
0.10971027,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,DB00425
0.18967874,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,DB00426
0.22735879,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\\C1=CC=CC=N1,DB00427
0.0070593283,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,DB00428
0.020759335,NC(CO)(CO)CO.CCCCC[C@](C)(O)\\C=C\\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\\C=C/CCCC(O)=O,DB00429
0.013157485,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,DB00431
0.058500014,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,DB00432
0.004583233,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,DB00433
0.06442785,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00434
0.35258618,[N]=O,DB00435
0.0050700163,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,DB00436
0.09506971,OC1=NC=NC2=C1C=NN2,DB00437
0.08406849,COCC1=C(C2=CC=C(F)C=C2)C(\\C=C\\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,DB00439
0.8476311,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,DB00440
0.029052688,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,DB00441
0.39549884,NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](CO)C1=C,DB00442
0.0066818404,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00443
0.008738417,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,DB00446
0.014991593,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,DB00447
0.029590983,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,DB00448
0.031266656,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1,DB00449
0.054837085,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,DB00450
